stock_name,date,closing_price
MSH,06/27/2019,59.5
MSH,06/26/2019,60.0
MSH,06/25/2019,58.0
MSH,06/24/2019,57.9
MSH,06/21/2019,59.6
MSH,06/20/2019,60.8
MSH,06/19/2019,60.5
MSH,06/18/2019,60.2
MSH,06/17/2019,60.0
MSH,06/14/2019,61.0
MSH,06/13/2019,61.2
MSH,06/12/2019,60.1
MSH,06/11/2019,62.1
MSH,06/10/2019,62.0
MSH,06/07/2019,62.4
MSH,06/06/2019,58.4
MSH,06/05/2019,58.1
MSH,06/04/2019,57.4
MSH,06/03/2019,57.0
MSH,05/31/2019,57.8
MSH,05/30/2019,57.8
MSH,05/29/2019,58.0
MSH,05/28/2019,59.0
MSH,05/27/2019,59.3
MSH,05/24/2019,59.9
MSH,05/23/2019,59.9
MSH,05/22/2019,59.9
MSH,05/21/2019,60.2
MSH,05/20/2019,59.0
MSH,05/17/2019,59.1
MSH,05/16/2019,58.6
MSH,05/15/2019,57.8
MSH,05/14/2019,58.8
MSH,05/13/2019,58.0
MSH,05/10/2019,58.4
MSH,05/09/2019,57.0
MSH,05/08/2019,58.1
MSH,05/07/2019,59.7
MSH,05/06/2019,61.6
MSH,05/03/2019,61.5
MSH,05/02/2019,61.2
MSH,04/26/2019,60.5
MSH,04/25/2019,60.9
MSH,04/24/2019,61.8
MSH,04/23/2019,60.4
MSH,04/22/2019,59.0
MSH,04/19/2019,60.8
MSH,04/18/2019,60.0
MSH,04/17/2019,60.7
MSH,04/16/2019,60.1
MSH,04/12/2019,60.5
MSH,04/11/2019,57.0
MSH,04/10/2019,56.8
MSH,04/09/2019,54.0
MSH,04/08/2019,54.7
MSH,04/05/2019,54.5
MSH,04/04/2019,53.0
MSH,04/03/2019,52.9
MSH,04/02/2019,51.0
MSH,04/01/2019,50.6
MSH,03/29/2019,51.0
MSH,03/28/2019,52.0
MSH,03/27/2019,51.7
MSH,03/26/2019,51.6
MSH,03/25/2019,50.7
MSH,03/22/2019,51.1
MSH,03/21/2019,51.5
MSH,03/20/2019,52.8
MSH,03/19/2019,53.0
MSH,03/18/2019,53.4
MSH,03/15/2019,52.8
MSH,03/14/2019,53.5
MSH,03/13/2019,53.7
MSH,03/12/2019,54.2
MSH,03/11/2019,52.9
MSH,03/08/2019,53.0
MSH,03/07/2019,52.0
MSH,03/06/2019,53.8
MSH,03/05/2019,53.1
MSH,03/04/2019,55.4
MSH,03/01/2019,55.1
MSH,02/28/2019,53.9
MSH,02/27/2019,54.4
MSH,02/26/2019,54.3
MSH,02/25/2019,53.0
MSH,02/22/2019,52.6
MSH,02/21/2019,53.0
MSH,02/20/2019,53.4
MSH,02/19/2019,53.6
MSH,02/18/2019,53.7
MSH,02/15/2019,50.8
MSH,02/14/2019,51.2
MSH,02/13/2019,51.6
MSH,02/12/2019,50.1
MSH,02/11/2019,49.5
MSH,02/01/2019,48.75
MSH,01/31/2019,48.0
MSH,01/30/2019,48.0
MSH,01/29/2019,48.1
MSH,01/28/2019,46.9
MSH,01/25/2019,45.0
MSH,01/24/2019,45.0
MSH,01/23/2019,45.45
MSH,01/22/2019,45.5
MSH,01/21/2019,45.3
MSH,01/18/2019,44.3
MSH,01/17/2019,44.8
MSH,01/16/2019,46.0
MSH,01/15/2019,45.8
MSH,01/14/2019,43.0
MSH,01/11/2019,40.7
MSH,01/10/2019,40.8
MSH,01/09/2019,40.85
MSH,01/08/2019,41.0
MSH,01/07/2019,40.8
MSH,01/04/2019,41.0
MSH,01/03/2019,41.0
MSH,01/02/2019,41.0
NTL,12/01/2022,17.55
NTL,11/30/2022,18.25
NTL,11/29/2022,18.0
NTL,11/28/2022,18.25
NTL,11/25/2022,17.75
NTL,11/24/2022,16.7
NTL,11/23/2022,16.75
NTL,11/22/2022,16.8
NTL,11/21/2022,16.8
NTL,11/18/2022,16.55
NTL,11/17/2022,16.0
NTL,11/16/2022,15.4
NTL,11/15/2022,14.4
NTL,11/14/2022,14.8
NTL,11/11/2022,15.3
NTL,11/10/2022,15.0
NTL,11/09/2022,16.1
NTL,11/08/2022,15.55
NTL,11/07/2022,14.55
NTL,11/04/2022,15.6
NTL,11/03/2022,16.7
NTL,11/02/2022,17.2
NTL,11/01/2022,17.5
NTL,10/31/2022,17.6
NTL,10/28/2022,17.9
NTL,10/27/2022,17.8
NTL,10/26/2022,16.65
NTL,10/25/2022,17.35
NTL,10/24/2022,18.4
NTL,10/21/2022,19.75
NTL,10/20/2022,21.2
NTL,10/19/2022,22.2
NTL,10/18/2022,22.05
NTL,10/17/2022,22.0
NTL,10/14/2022,22.45
NTL,10/13/2022,21.75
NTL,10/12/2022,22.0
NTL,10/11/2022,20.6
NTL,10/10/2022,22.1
NTL,10/07/2022,21.7
NTL,10/06/2022,23.3
NTL,10/05/2022,24.0
NTL,10/04/2022,23.2
NTL,10/03/2022,22.9
NTL,09/30/2022,24.6
NTL,09/29/2022,24.5
NTL,09/28/2022,24.95
NTL,09/27/2022,26.0
NTL,09/26/2022,26.5
NTL,09/23/2022,28.2
NTL,09/22/2022,28.5
NTL,09/21/2022,28.0
NTL,09/20/2022,28.3
NTL,09/19/2022,27.8
NTL,09/16/2022,29.5
NTL,09/15/2022,30.2
NTL,09/14/2022,30.2
NTL,09/13/2022,29.7
NTL,09/12/2022,29.3
NTL,09/09/2022,29.0
NTL,09/08/2022,27.8
NTL,09/07/2022,27.8
NTL,09/06/2022,27.0
NTL,09/05/2022,26.35
NTL,08/31/2022,26.4
NTL,08/30/2022,26.4
NTL,08/29/2022,26.45
NTL,08/26/2022,27.4
NTL,08/25/2022,27.2
NTL,08/24/2022,27.1
NTL,08/23/2022,27.0
NTL,08/22/2022,26.95
NTL,08/19/2022,28.0
NTL,08/18/2022,28.0
NTL,08/17/2022,28.4
NTL,08/16/2022,28.2
NTL,08/15/2022,28.2
NTL,08/12/2022,28.15
NTL,08/11/2022,28.3
NTL,08/10/2022,28.9
NTL,08/09/2022,28.9
NTL,08/08/2022,28.75
NTL,08/05/2022,29.0
NTL,08/04/2022,28.0
NTL,08/03/2022,28.0
NTL,08/02/2022,27.95
NTL,08/01/2022,28.0
NTL,07/29/2022,28.0
NTL,07/28/2022,28.1
NTL,07/27/2022,26.3
NTL,07/26/2022,26.0
NTL,07/25/2022,26.15
NTL,07/22/2022,26.45
NTL,07/21/2022,26.9
NTL,07/20/2022,27.1
NTL,07/19/2022,26.75
NTL,07/18/2022,26.95
NTL,07/15/2022,26.3
NTL,07/14/2022,26.5
NTL,07/13/2022,26.1
NTL,07/12/2022,26.6
NTL,07/11/2022,24.9
NTL,07/08/2022,25.0
NTL,07/07/2022,24.0
NTL,07/06/2022,24.0
NTL,07/05/2022,24.6
NTL,07/04/2022,25.0
NTL,07/01/2022,25.45
NTL,06/30/2022,25.15
NTL,06/29/2022,25.2
NTL,06/28/2022,24.0
NTL,06/27/2022,23.45
NTL,06/24/2022,23.1
NTL,06/23/2022,23.15
NTL,06/22/2022,22.8
NTL,06/21/2022,22.85
NTL,06/20/2022,24.0
NTL,06/17/2022,24.0
NTL,06/16/2022,24.9
NTL,06/15/2022,24.5
NTL,06/14/2022,24.55
NTL,06/13/2022,25.15
NTL,06/10/2022,27.0
NTL,06/09/2022,27.6
NTL,06/08/2022,27.45
NTL,06/07/2022,27.2
NTL,06/06/2022,27.3
NTL,06/03/2022,27.7
NTL,06/02/2022,28.2
NTL,06/01/2022,27.8
NTL,05/31/2022,28.0
NTL,05/30/2022,28.3
NTL,05/27/2022,27.4
NTL,05/26/2022,27.2
NTL,05/25/2022,27.05
NTL,05/24/2022,26.2
NTL,05/23/2022,26.25
NTL,05/20/2022,26.4
NTL,05/19/2022,26.0
NTL,05/18/2022,26.3
NTL,05/17/2022,26.3
NTL,05/16/2022,24.9
NTL,05/13/2022,25.0
NTL,05/12/2022,26.85
NTL,05/11/2022,28.85
NTL,05/10/2022,28.7
NTL,05/09/2022,28.5
NTL,05/06/2022,30.6
NTL,05/05/2022,30.6
NTL,05/04/2022,30.65
NTL,04/29/2022,31.5
NTL,04/28/2022,30.8
NTL,04/27/2022,31.0
NTL,04/26/2022,30.9
NTL,04/25/2022,30.0
NTL,04/22/2022,31.4
NTL,04/21/2022,31.95
NTL,04/20/2022,31.1
NTL,04/19/2022,31.1
NTL,04/18/2022,32.45
NTL,04/15/2022,33.65
NTL,04/14/2022,34.0
NTL,04/13/2022,34.5
NTL,04/12/2022,33.5
NTL,04/08/2022,34.55
NTL,04/07/2022,35.7
NTL,04/06/2022,36.3
NTL,04/05/2022,36.55
NTL,04/04/2022,36.3
NTL,04/01/2022,36.1
NTL,03/31/2022,35.9
NTL,03/30/2022,35.8
NTL,03/29/2022,36.65
NTL,03/28/2022,36.0
NTL,03/25/2022,36.8
NTL,03/24/2022,36.7
NTL,03/23/2022,36.9
NTL,03/22/2022,37.7
NTL,03/21/2022,37.7
NTL,03/18/2022,36.65
NTL,03/17/2022,36.9
NTL,03/16/2022,36.1
NTL,03/15/2022,36.1
NTL,03/14/2022,35.85
NTL,03/11/2022,36.5
NTL,03/10/2022,37.7
NTL,03/09/2022,37.5
NTL,03/08/2022,37.35
NTL,03/07/2022,38.0
NTL,03/04/2022,36.6
NTL,03/03/2022,35.5
NTL,03/02/2022,35.5
NTL,03/01/2022,36.0
NTL,02/28/2022,35.5
NTL,02/25/2022,35.5
NTL,02/24/2022,35.4
NTL,02/23/2022,36.6
NTL,02/22/2022,36.1
NTL,02/21/2022,37.0
NTL,02/18/2022,36.95
NTL,02/17/2022,36.25
NTL,02/16/2022,36.15
NTL,02/15/2022,35.9
NTL,02/14/2022,36.0
NTL,02/11/2022,35.45
NTL,02/10/2022,35.2
NTL,02/09/2022,35.25
NTL,02/08/2022,34.8
NTL,02/07/2022,34.4
NTL,01/28/2022,33.6
NTL,01/27/2022,32.95
NTL,01/26/2022,33.4
NTL,01/25/2022,33.4
NTL,01/24/2022,32.6
NTL,01/21/2022,35.0
NTL,01/20/2022,35.8
NTL,01/19/2022,35.5
NTL,01/18/2022,33.2
NTL,01/17/2022,34.5
NTL,01/14/2022,37.0
NTL,01/13/2022,36.0
NTL,01/12/2022,36.2
NTL,01/11/2022,38.7
NTL,01/10/2022,38.7
NTL,01/07/2022,39.65
NTL,01/06/2022,40.55
NTL,01/05/2022,40.75
NTL,01/04/2022,40.85
NTL,12/31/2021,41.7
NTL,12/30/2021,40.35
NTL,12/29/2021,41.6
NTL,12/28/2021,42.5
NTL,12/27/2021,42.35
NTL,12/24/2021,41.95
NTL,12/23/2021,42.8
NTL,12/22/2021,45.25
NTL,12/21/2021,43.5
NTL,12/20/2021,42.0
NTL,12/17/2021,43.1
NTL,12/16/2021,44.7
NTL,12/15/2021,43.0
NTL,12/14/2021,42.8
NTL,12/13/2021,42.9
NTL,12/10/2021,40.1
NTL,12/09/2021,39.4
NTL,12/08/2021,38.55
NTL,12/07/2021,38.4
NTL,12/06/2021,37.3
NTL,12/03/2021,39.9
NTL,12/02/2021,41.4
NTL,12/01/2021,41.6
NTL,11/30/2021,40.2
NTL,11/29/2021,39.65
NTL,11/26/2021,38.8
NTL,11/25/2021,39.3
NTL,11/24/2021,38.25
NTL,11/23/2021,38.25
NTL,11/22/2021,35.75
NTL,11/19/2021,38.1
NTL,11/18/2021,39.2
NTL,11/17/2021,39.95
NTL,11/16/2021,40.3
NTL,11/15/2021,41.6
NTL,11/12/2021,42.1
NTL,11/11/2021,42.8
NTL,11/10/2021,41.8
NTL,11/09/2021,42.2
NTL,11/08/2021,40.9
NTL,11/05/2021,41.3
NTL,11/04/2021,41.5
NTL,11/03/2021,41.85
NTL,11/02/2021,45.0
NTL,11/01/2021,44.45
NTL,10/29/2021,44.6
NTL,10/28/2021,44.65
NTL,10/27/2021,44.2
NTL,10/26/2021,43.6
NTL,10/25/2021,43.15
NTL,10/22/2021,43.45
NTL,10/21/2021,42.4
NTL,10/20/2021,39.65
NTL,10/19/2021,38.55
NTL,10/18/2021,38.2
NTL,10/15/2021,38.3
NTL,10/14/2021,38.35
NTL,10/13/2021,38.5
NTL,10/12/2021,37.8
NTL,10/11/2021,36.25
NTL,10/08/2021,36.0
NTL,10/07/2021,36.45
NTL,10/06/2021,35.35
NTL,10/05/2021,34.65
NTL,10/04/2021,32.4
NTL,10/01/2021,32.5
NTL,09/30/2021,33.1
NTL,09/29/2021,32.9
NTL,09/28/2021,32.9
NTL,09/27/2021,32.0
NTL,09/24/2021,34.35
NTL,09/23/2021,34.95
NTL,09/22/2021,35.2
NTL,09/21/2021,34.95
NTL,09/20/2021,35.0
NTL,09/17/2021,36.0
NTL,09/16/2021,36.0
NTL,09/15/2021,34.9
NTL,09/14/2021,34.2
NTL,09/13/2021,34.8
NTL,09/10/2021,34.5
NTL,09/09/2021,35.2
NTL,09/08/2021,34.6
NTL,09/07/2021,34.2
NTL,09/06/2021,35.9
NTL,09/01/2021,36.5
NTL,08/31/2021,36.5
NTL,08/30/2021,34.75
NTL,08/27/2021,34.0
NTL,08/26/2021,32.4
NTL,08/25/2021,32.5
NTL,08/24/2021,31.25
NTL,08/23/2021,30.3
NTL,08/20/2021,32.3
NTL,08/19/2021,34.3
NTL,08/18/2021,33.8
NTL,08/17/2021,33.0
NTL,08/16/2021,34.85
NTL,08/13/2021,35.2
NTL,08/12/2021,33.8
NTL,08/11/2021,32.0
NTL,08/10/2021,32.65
NTL,08/09/2021,32.4
NTL,08/06/2021,31.6
NTL,08/05/2021,31.9
NTL,08/04/2021,30.6
NTL,08/03/2021,31.0
NTL,08/02/2021,29.8
NTL,07/30/2021,29.1
NTL,07/29/2021,27.2
NTL,07/28/2021,27.0
NTL,07/27/2021,26.85
NTL,07/26/2021,27.15
NTL,07/23/2021,26.3
NTL,07/22/2021,27.0
NTL,07/21/2021,25.5
NTL,07/20/2021,25.2
NTL,07/19/2021,24.15
NTL,07/16/2021,24.9
NTL,07/15/2021,24.6
NTL,07/14/2021,24.3
NTL,07/13/2021,24.4
NTL,07/12/2021,24.3
NTL,07/09/2021,25.1
NTL,07/08/2021,25.9
NTL,07/07/2021,26.5
NTL,07/06/2021,26.5
NTL,07/05/2021,28.1
NTL,07/02/2021,27.1
NTL,07/01/2021,26.75
NTL,06/30/2021,26.3
NTL,06/29/2021,26.25
NTL,06/28/2021,26.6
NTL,06/25/2021,26.8
NTL,06/24/2021,26.7
NTL,06/23/2021,26.55
NTL,06/22/2021,26.95
NTL,06/21/2021,27.3
NTL,06/18/2021,26.9
NTL,06/17/2021,25.15
NTL,06/16/2021,25.15
NTL,06/15/2021,25.6
NTL,06/14/2021,25.7
NTL,06/11/2021,26.5
NTL,06/10/2021,26.0
NTL,06/09/2021,26.25
NTL,06/08/2021,26.2
NTL,06/07/2021,26.9
NTL,06/04/2021,26.9
